Serbia, 7310555, 29913, Europe
Seychelles, 89188, 176, Africa
Sierra Leone, 5363669, 27699, Africa
Singapore, 5287000, 267, Asia
Slovakia, 5477038, 18859, Europe
Slovenia, 2000092, 7827, Europe
Solomon Islands, 571890, 10985, Oceania
Somalia, 9925640, 246199, Africa
South Africa, 49004031, 471008, Africa
South Sudan, 8260490, 400367, Africa
Spain, 46754784, 194896, Europe
Sri Lanka, 21283913, 25332, Asia
Sudan, 45047502, 728215, Africa
Suriname, 491989, 63039, South America
Swaziland, 1370424, 6704, Africa
Sweden, 9088728, 173731, Europe
Switzerland, 7639961, 15942, Europe
Syria, 22517750, 71498, Asia
Taiwan, 23071779, 13892, Asia
Tajikistan, 7627200, 55251, Asia
Tanzania, 42746620, 364898, Africa
Thailand, 66720153, 198455, Asia
Timor-Leste, 1177834, 5641, Asia
Togo, 6771993, 21925, Africa
Tonga, 105916, 289, Oceania
Trinidad and Tobago, 1227505, 1980, North America
Tunisia, 10629186, 63170, Africa
Turkey, 78785548, 301382, Asia
Turkmenistan, 4997503, 188455, Asia
Tuvalu, 10544, 10, Oceania
Uganda, 34612250, 91135, Africa
Ukraine, 45134707, 233089, Europe
United Arab Emirates, 5148664, 32000, Asia
United Kingdom, 62698362, 94525, Europe
United States, 313232044, 3718691, North America
Uruguay, 3308535, 68039, South America
Uzbekistan, 28128600, 172741, Asia
Vanuatu, 224564, 4710, Oceania
Vatican City, 832, 0, Europe
Venezuela, 27635743, 352143, South America
Vietnam, 90549390, 127243, Asia
Western Sahara, 507160, 102703, Africa
Yemen, 24133492, 203849, Asia
Zambia, 13881336, 290584, Africa
Zimbabwe, 12084304, 150803, Africa
